ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 18,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 290 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 20,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Collectarium,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 295 x 92 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 21,"",,Switzerland?,"","s. XIII, 1200-1299",1200-1299,http://vocab.getty.edu/aat/300404505,false,,"","",Psalter,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 270 x 179 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 22,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 271 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 23,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 280 x 201 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 26,"",,Switzerland?,"","s. XIV, 1300-1399",1300-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 218 x 151 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 28,"",,Switzerland?,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 309 x 194 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 29,"",,Switzerland?,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 312 x 218 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 30,"",,Switzerland?,"","s. XIV, 1300-1399",1300-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 298 x 211 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 31,"",,Switzerland?,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 297 x 220 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 33,"",,Switzerland?,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Hymnary,"","",,"",,"","",,"","",,"","",,Latin,"","Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.","",,"",parchment,Extent: f. 1r-v; 413 x 278 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 34,"",,Italy,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",De vita contemplativa,"","",,"",,"","",,"","",,"","",,Latin,"","Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.","",,"",paper,Extent: f. 1r-v; 340 x 236 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 03,"",,?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Psalter,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 160 x 135 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 04,"",,Switzerland?,"","s. IX/X, 890-910",890-910,http://vocab.getty.edu/aat/300404501-http://vocab.getty.edu/aat/300404502,false,,"","",Lectionary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 278 x 191 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 05,"",,Switzerland?,"","s. IX/X, 890-910",890-910,http://vocab.getty.edu/aat/300404501-http://vocab.getty.edu/aat/300404502,false,,"","",Lectionary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 248 x 177 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 06,"",,France?,"","s. XI, 1000-1099",1000-1099,http://vocab.getty.edu/aat/300404503,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 298 x 188 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 07,"",,France?,"","s. XI, 1000-1099",1000-1099,http://vocab.getty.edu/aat/300404503,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 298 x 199 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 08,"",,France?,"","s. XI, 1000-1099",1000-1099,http://vocab.getty.edu/aat/300404503,false,,"","",Sacramentary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 283 x 210 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 09,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 165 x 253 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 11,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Sacramentary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 306 x 208 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 24,"",,Switzerland?,"","s. XI/XII, 1090-1110",1090-1110,http://vocab.getty.edu/aat/300404503-http://vocab.getty.edu/aat/300404504,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"","","",,"",parchment,Extent: ff. 1-2v; 335 x 258 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 10,"",,Germany?,"","s. XIV, 1300-1399",1300-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Monastic life,"","",,"",,"","",,"","",,"","",,Latin,"","","",,"",parchment,Extent: f. 1r-v; 160 x 840 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 36,"",,France?,"","s. XVI, 1500-1599",1500-1599,http://vocab.getty.edu/aat/300404510,false,,"","",Document,"","",,"",,"","",,"","",,"","",,French,"","","",,"",parchment,Extent: f. 1r-v; 81 x 285 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 38,"",,Spain,"","s. XVII, 1600-1699",1600-1699,http://vocab.getty.edu/aat/300404511,false,,"","",Choir psalter,"","",,"",,"","",,"","",,"","",,Latin,"","","",,"",parchment,Extent: ff. 1-5v; 827 x 578 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 39,"",,Spain?,"","s. XVIII, 1700-1799",1700-1799,http://vocab.getty.edu/aat/300404512,false,,"","",Choir psalter,"","",,"",,"","",,"","",,"","",,Latin,"","","",,"",parchment,Extent: f. 1r-v; 817 x 565 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 40,"",,Spain,"","s. XVII, 1600-1699",1600-1699,http://vocab.getty.edu/aat/300404511,false,,"","",Choir psalter,"","",,"",,"","",,"","",,"","",,Latin,"","","",,"",parchment,Extent: ff. 1-5v; 820 x 580 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 41,"",,Italy,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Antiphonal,"","",,"",,"","",,"","",,"","",,Latin,"","Price in English pounds on the recto, suggesting that the leaf may have been a gift to Conception Abbey from Dr. Charles D. Humberd (1876-1966) of Bernard, Missouri (buried in West Union, Indiana).","",,"",parchment,Extent: f. 1r-v; 527 x 402 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 42,"",,Switzerland?,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","","Bible, N.T., John","","",,"",,"","",,"","",,"","",,Latin,"","Came to Conception Abbey from its motherhouse, Engelberg in Switzerland.","",,"",parchment,"Extent: One item, recto & verso; 167 x 242 mm.",We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 43,"",,Netherlands,"","s. XIV, 1300-1399",1300-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Psalter,"","",,"",,"","",,"","",,"","",,Latin,"",Purchased ca. 2000 from a book dealer.,"",,"",parchment,Extent: f. 1r-v; 168 x 124 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 37,"",,Germany,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","","Bible, O.T.","","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,"Extent: One fragment, recto & verso; ? x ? mm.",We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 07,"",,"Italy, Lombardy","","s. XV#^3/4#, 1450-1475",1450-1475,http://vocab.getty.edu/aat/300404465,true,,"","",Phalaridis Epistolae,"","",,"",,"","",,"","",,"","",,Latin,"","Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.","",,"",parchment,Extent: ff. 1r-48v; 205 x 135 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 05,"",,Germany,"","s. XV(med), 1440-1460|s. XIV, 1300-1399",1440-1460|1300-1399,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404506,false,,"","",Sermons for the temporale|Theological material?,"","",,"",,"","",,|,"",,|,"",,Latin|Latin,"","The dean of Lu""kirch; Carthusians of Buxheim (cf. note on f. i verso), with ""N. 175"" in ink on f. 1 and on the spine; ""386"" also on the spine; Hugo, Graf von Waldbott-Basenheim (Munich, 20 Sept. 1883, lot 2616); Adolph Sutro (1830-1898), mayor of S. F.","",,"",paper|parchment,"Extent: ff. 1-107v; 209 x 149 mm. Extent: Pastedowns, flyleaves; 415 x ? mm.",This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 02,"",,Italy,"","s. XIV(ex), 1385-1399",1385-1399,http://vocab.getty.edu/aat/300404506,true,,"","",Re'gime du corps|M ccc lxxxxii. Qui chomincia la fisicha del maestro Aldobrandino da Siena il quale chonpuose in linghua franciescha della santa del chorpo del uomo e di ciaschuno nenbro per se traslatata in volghare per ser Zucchero Bencivenni notaio fiorentino . . .,"","",,"",,"","",,"","",,"","",,Italian,"","Inside front cover: Ex bibliotheca Com. Eq. Fabricii Orsini Rilli di Poppi. N. 263 in a Sotheby sale, ca. 1890 (according to De Ricci); Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",paper,Extent: ff. 1-69v; 294 x 220 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 03,"",,Germany,"","s. XV, 1400-1499",1400-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Antiphonal,"","",,"",,"","",,"","",,"","",,Latin,"","On f. 121, rubric for St. John the Baptist ""patroni ordinis nostri et ecclesie huius""; Carthusians of Buxheim; in the sale of Hugo, Graf von Waldbott-Bassenheim (Munich, 20 September 1883, lot 2533); Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",parchment,Extent: ff. 1-143; 375 x 265 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 04,"",,Italy,"","s. XVI, 1500-1599",1500-1599,http://vocab.getty.edu/aat/300404510,false,,"","",Medical recipes,"","",,"",,"","",,"","",,"","",,Italian,"","Ownership notes, mainly illegible, inside front cover, "". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",paper,Extent: ff. 1-140v; 203 x 77 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 06,"",,France,"","s. XV(ex), 1485-1499",1485-1499,http://vocab.getty.edu/aat/300404465,false,,"","",Book of Hours,"","",,"",,"","",,"","",,"","",,Latin,"","Rosenthal, antiquarian bookdealer in Munich; Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",parchment,Extent: ff. 1-3v; 165 x 120 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 01,"",,Germany,"","s. XV(ex), 1485-1499",1485-1499,http://vocab.getty.edu/aat/300404465,false,,"","","Psalter, diurnal","","",,"",,"","",,"","",,"","",,Latin,"","Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",parchment,Extent: ff. 1-78v; 360 x 250 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 08,"",,Italy,"","s. XV(2), 1450-1499|s. XVII, 1600-1699",1450-1499|1600-1699,http://vocab.getty.edu/aat/300404465|http://vocab.getty.edu/aat/300404511,false,,"","",De corpore et sanguine Domini|De die iudicii|Incipit epistola Petri Damiani de die iudicii|Materials relating to Cesena,"","",,"",,"","",,|,"",,|,"",,Latin|Latin|Italian,"","On f. 1, illegilbe even under ultra-violet light due to stain, ""Iste liber est monachorum <?> deputatus monasterii <sancte Marie ?> <?>."" On f. i verso in a modern Italian hand, ""14.6.13"" written over ""A.42000."" Adolph Sutro (1830-1898), mayor of S. F.","",,"",paper,Extent: ff. 1-38v; 235 x 165 mm. Extent: ff. 39-135; 235 x 165 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 09,"",,Italy,"","s. XV(ex), 1485-1499",1485-1499,http://vocab.getty.edu/aat/300404465,false,,"","","Book of Hours, use of Rome","","",,"",,"","",,"","",,"","",,Latin; Italian,"","On ff. 105v, 109v-141v, in margins, notes of the Floriani family, 1591-1702, in areas near Bologna (S. Martino in Argile, S. Lorenzo del Castello di Budrio, Dozza; Budrio); Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",parchment,Extent: ff. 1-172v; 120 x 83 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection MS 10,"",,France,"","s. XV(ex), 1485-1499",1485-1499,http://vocab.getty.edu/aat/300404465,false,,"","","Chy fait mencion comment le Roy Henry d'Engleterre renvoya la Reyne Izabel jadis femme du Roy Richard d'Engleterre en France et de ceulx qui le rechevirent|History of France and England during the reigns of Henry IV, Henry V, Henry VI","","",,"",,"","",,"","",,"","",,French,"","On front pastedown, pressmark, ""a.37""; bookplate of Victor Albert George Child-Villiers (1845-1915), Earl of Jersey, Osterley Park; clipping from Sotheby's, lot 56; Adolph Sutro (1830-1898), mayor of San Francisco.","",,"",paper,Extent: ff. 1-370; 279 x 203 mm.,This description provided by D. J. Dutschke and C. W. Dutschke.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 01,"",,"England, Warwickshire","","s. XIV(ex), 1385-1399",1385-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Lease,"","",,"",,"","",,"","",,"","",,Latin,"","Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889","",,"",parchment,Extent: 1 leaf; 122 x 304 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q5021042,State of California,Sutro Collection Halliwell Phillips MS 02,"",,England,"","s. XV#^1/4#, 1400-1425",1400-1425,http://vocab.getty.edu/aat/300404465,false,,"","",Document,"","",,"",,"","",,"","",,"","",,Latin,"","Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889","",,"",parchment,Extent: 1 leaf; 446 x 265 mm.,"",2022-02-08T17:47:33-05:00,2021-10-01
