language_as_recorded,language_code,authorized_label,structured_value,ds_qid
Arabic and Coptic,cop;ara,Arabic;Coptic,Q13955;Q36155,Q118;Q4335
Arabic and Ottoman Turkish,;ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic and Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic and Turkish,;ara;ota,Arabic;Turkish,Q13955;Q256,Q118;Q4337
"Arabic headwords, Ottoman definitions",ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic text with Persian marginalia,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with 13 pages in Ottoman Turkish,ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with a few pages in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with a few statements in Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with a short introduction in Persian,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with interlinear Persian translation,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with one line in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with one page in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with one page in Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with one page translated into Persian,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with one work in Persian (number 8),ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with Persian commentary and end pages,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with Persian heading and marginalia,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with Persian interlinear translation and marginal commentary,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with Persian translation and marginal comments,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with Persian translation and marginal notes,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with some explanations in Ottoman Turkish,ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with some headers in Ottoman Turkish,ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with some marginalia in Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with some notes in Persian,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with some Ottoman Turkish,ara;ota,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic with some Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with some Persian annotations,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with some Persian marginalia,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Arabic with translation in Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
Aragonese,,Aragonese,Q8765,Q42443
Aramaic,,Aramaic,Q28602,Q3663
Aramaic,heb,Aramaic,Q28602,Q3663
Aramaic in Hebrew letters with Syriac vocalization,,Aramaic;Hebrew;Syriac,Q28602;Q9288;Q33538,Q3663;Q117;Q12713
arc,arc,Imperial Aramaic,Q7079491,Q38091
arm,arm,Armenian,Q8785,Q792
Armenian,,Armenian,Q8785,Q792
Armenian,arm,Armenian,Q8785,Q792
ave,ave,Avestan,Q29572,Q27501
Avestan (in Pahlavi script) and Pahlavi with one line in Gujarati,ave,Avestan;Middle Persian;Gujarati,Q29572;Q32063;Q5137,Q27501;Q27493;Q27495
Avestan and Persian with some Pahlavi,ave,Avestan;Persian;Middle Persian,Q29572;Q9168;Q32063,Q27501;Q120;Q27493
awa,awa,Awadhi,Q29579,Q27502
Batak script,,Batak,Q1998595,Q42449
ber,ber,Berber,Q25448,Q38092
Boethius's commentary in the original Latin; Averroës' commentary translated from Arabic,,Latin;Arabic,Q397;Q13955,Q113;Q118
bra,bra,Braj Bhasha,Q35243,Q27513
Cambodian (Khmer) in Thai script,,Khmer;Thai,Q9205;Q9217,Q27499;Q27515
Castilian,,Spanish,Q1321,Q114
"Castilian, Spanish",spa,Spanish,Q1321,Q114
"Castilian, Spanish; Latin",spa;lat,Spanish;Latin,Q1321;Q397,Q114;Q113
cat,cat,Catalan,Q7026,Q1316
Catalan,,Catalan,Q7026,Q1316
"Catalan, with prologue in Latin",cat;lat,Catalan;Latin,Q7026;Q397,Q1316;Q113
Catalan;,,Catalan,Q7026,Q1316
Catalan translation of: De consolatione philosophiae,,Catalan,Q7026,Q1316
Chagatai,,Chagatai,Q36831,Q42445
"Chagatai (""Eastern Turkic"")",,Chagatai,Q36831,Q42445
chg,,Chagatai,Q36831,Q42445
chi,chi,Chinese,Q7850,Q12715
chi;jpn,chi;jpn,Chinese;Japanese,Q7850;Q5287,Q12715;Q12711
Chiefly Arabic with some Persian,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
Chiefly Arabic with some Samaritan Aramaic,ara,Arabic;Samaritan Aramaic,Q13955;Q56612,Q118;Q6995
"Chiefly in Latin, often lapsing into the vernacular. One piece, dated 1497, is entirely in Catalan",,Latin;Catalan,Q397;Q7026,Q113;Q1316
"Chiefly in Latin, with a few documents in Spanish or Catalan",,Latin;Spanish,Q397;Q1321,Q113;Q114
"Chiefly in Latin, with one document in Catalan",,Latin;Catalan,Q397;Q7026,Q113;Q1316
"Chiefly in Latin, with some documents in Catalan or Castilian",,Latin;Catalan;Spanish,Q397;Q7026;Q1321,Q113;Q1316;Q114
"Chiefly Latin, with some French, Greek, Italian, and English texts",,Latin;French;Greek;Italian;English,Q397;Q150;Q9129;Q652;Q1860,Q113;Q111;Q1318;Q116;Q109
"Chiefly Latin, with some French, or Italian texts",,Latin;French;Italian,Q397;Q150;Q652,Q113;Q111;Q116
Chiefly Ottoman Turkish with Persian and Arabic vocabulary and headings in Arabic,ota;ara;per,Persian;Arabic;Ottoman Turkish,Q9168;Q13955;Q36730,Q120;Q118;Q3104
chu,chu,Church Slavonic,Q33251,Q16427
Church Slavic,chu,Church Slavonic,Q33251,Q16427
"Church Slavic, Church Slavonic, Old Bulgarian, Old Church Slavonic, Old Slavonic",chu,Church Slavonic;Old Church Slavonic,Q33251;Q35499,Q16427;Q20366
Church Slavonic,,Church Slavonic,Q33251,Q16427
"Condition in Middle English, obligation in Latin, and later summary in English",enm;lat;eng,Middle English;Latin;English,Q36395;Q397;Q1860,Q119;Q113;Q109
cop,cop,Coptic,Q36155,Q4335
cop;ara,cop;ara,Coptic;Arabic,Q36155;Q13955,Q4335;Q118
Coptic,,Coptic,Q36155,Q4335
Coptic,cop,Coptic,Q36155,Q4335
"Coptic, Bohairic dialect, with a few notations in Arabic",cop,Coptic;Bohairic;Arabic,Q36155;Q890733;Q13955,Q4335;Q27517;Q118
"Coptic and Arabic, marginal notes in Arabic",,Coptic;Arabic,Q36155;Q13955,Q4335;Q118
cze,cze,Czech,Q9056,Q3107
Czech,,Czech,Q9056,Q3107
dan,dan,Danish,Q9035,Q38093
Danish,,Danish,Q9035,Q38093
dum,dum,Middle Dutch,Q178806,Q10833
dum;lat,dum;lat,Middle Dutch;Latin,Q178806;Q397,Q10833;Q113
dut,dut,Dutch,Q7411,Q793
dut;ger,dut;ger,Dutch;German,Q7411;Q188,Q793;Q112
Dutch,,Dutch,Q7411,Q793
Dutch,dut,Dutch,Q7411,Q793
"Dutch, Flemish",dut,Dutch;Flemish,Q7411;Q34147,Q793;Q10832
"Dutch, with fragment of breviary in Latin",dut,Dutch;Latin,Q7411;Q397,Q793;Q113
Dutch; Latin,,Dutch;Latin,Q7411;Q397,Q793;Q113
Dutch; Latin; French,,Dutch;Latin;French,Q7411;Q397;Q150,Q793;Q113;Q111
Dutch and Middle Dutch,dut,Dutch;Middle Dutch,Q7411;Q178806,Q793;Q10833
East Middle Dutch,,Middle Dutch,Q178806,Q10833
egy,egy,Egyptian,Q50868,Q20367
Egyptian (Ancient),egy,Egyptian,Q50868,Q20367
eng,,English,Q1860,Q109
eng,eng,English,Q1860,Q109
eng;dut,eng;dut,English;Dutch,Q1860;Q7411,Q109;Q793
eng;dut;gre;lat,eng;dut;gre;lat,English;Dutch;Greek;Latin,Q1860;Q7411;Q9129;Q397,Q109;Q793;Q1318;Q113
eng;dut;lat,eng;dut;lat,English;Dutch;Latin,Q1860;Q7411;Q397,Q109;Q793;Q113
eng;enm,eng;enm,English;Middle English,Q1860;Q36395,Q109;Q119
eng;fre,eng;fre,English;French,Q1860;Q150,Q109;Q111
eng;fre;ger;lat,eng;fre;ger;lat,English;French;German;Latin,Q1860;Q150;Q188;Q397,Q109;Q111;Q112;Q113
eng;fre;gre;heb;lat,eng;fre;gre;heb;lat,English;French;Greek;Hebrew;Latin,Q1860;Q150;Q9129;Q9288;Q397,Q109;Q111;Q1318;Q117;Q113
eng;fre;lat,eng;fre;lat,English;French;Latin,Q1860;Q150;Q397,Q109;Q111;Q113
eng;ger,eng;ger,English;German,Q1860;Q188,Q109;Q112
eng;ger;lat,eng;ger;lat,English;German;Latin,Q1860;Q188;Q397,Q109;Q112;Q113
eng;gre,eng;gre,English;Greek,Q1860;Q9129,Q109;Q1318
eng;gre;heb;lat,eng;gre;heb;lat,English;Greek;Hebrew;Latin,Q1860;Q9129;Q9288;Q397,Q109;Q1318;Q117;Q113
eng;gre;lat,eng;gre;lat,English;Greek;Latin,Q1860;Q9129;Q397,Q109;Q1318;Q113
eng;heb,eng;heb,English;Hebrew,Q1860;Q9288,Q109;Q117
eng;ita,eng;ita,English;Italian,Q1860;Q652,Q109;Q116
eng;ita;lat,eng;ita;lat,English;Italian;Latin,Q1860;Q652;Q397,Q109;Q116;Q113
eng;lat,eng;lat,English;Latin,Q1860;Q397,Q109;Q113
eng;lat;spa,eng;lat;spa,English;Latin;Spanish,Q1860;Q397;Q1321,Q109;Q113;Q114
eng;per,eng;per,English;Persian,Q1860;Q9168,Q109;Q120
eng;spa,eng;spa,English;Spanish,Q1860;Q1321,Q109;Q114
English,,English,Q1860,Q109
English,eng,English,Q1860,Q109
"English, with a few words in Latin",eng;lat,English;Latin,Q1860;Q397,Q109;Q113
"English, with a fragment from a document in Latin (f. 76-78)",eng;lat,English;Latin,Q1860;Q397,Q109;Q113
"English, with many works translated from Latin and retaining Latin titles",eng,English;Latin;Latin,Q1860;Q397;Q397,Q109;Q113;Q113
"English, with some notes in Latin and occasional words in Greek",eng;lat;grc,English;Latin;Greek,Q1860;Q397;Q9129,Q109;Q113;Q1318
English; French,,English;French,Q1860;Q150,Q109;Q111
English; Latin,,English;Latin,Q1860;Q397,Q109;Q113
English; Latin; French,,English;Latin;French,Q1860;Q397;Q150,Q109;Q113;Q111
English; Old French; Latin,,English;Old French;Latin,Q1860;Q35222;Q397,Q109;Q3106;Q113
English; Persian,eng;per,English;Persian,Q1860;Q9168,Q109;Q120
English.,,English,Q1860,Q109
English (Northern dialect),,English;Northern English,Q1860;Q1321639,Q109;Q38094
English and Latin,,English;Latin,Q1860;Q397,Q109;Q113
English and Latin,eng;lat,English;Latin,Q1860;Q397,Q109;Q113
enm,enm,Middle English,Q36395,Q119
enm;frm,enm;frm,Middle English;Middle French,Q36395;Q1473289,Q119;Q110
enm;lat,enm;lat,Middle English;Latin,Q36395;Q397,Q119;Q113
Ethiopic,,Ge'ez,Q35667,Q3664
Ethiopic,gez,Ge'ez,Q35667,Q3664
Farsi,,Persian,Q9168,Q120
Flemish,,Flemish,Q34147,Q10832
Flemish (Belgium Dutch),dut,Flemish;Belgian Dutch,Q34147;Q1404296,Q10832;Q27512
Flemish (Belgium Flemish),dut,Flemish,Q34147,Q10832
fre,,French,Q150,Q111
fre,fre,French,Q150,Q111
fre;ger,fre;ger,French;German,Q150;Q188,Q111;Q112
fre;ita;lat,fre;ita;lat,French;Italian;Latin,Q150;Q652;Q397,Q111;Q116;Q113
fre;lat,fre;lat,French;Latin,Q150;Q397,Q111;Q113
French,,French,Q150,Q111
French,frm,French,Q150,Q111
French,fre,French,Q150,Q111
"French, Middle (ca.1300-1600)",,Middle French,Q1473289,Q110
"French, Middle (ca.1300-1600)",frm,Middle French,Q1473289,Q110
"French, Middle (ca. 1300-1600), Latin",frm;lat,Middle French;Latin,Q1473289;Q397,Q110;Q113
"French, Middle (ca. 1300-1600), Latin",,Middle French;Latin,Q1473289;Q397,Q110;Q113
"French, Middle (ca. 1300-1600), Latin.",,Middle French;Latin,Q1473289;Q397,Q110;Q113
"French, Middle (ca.1300-1600).",,Middle French,Q1473289,Q110
"French, Old (ca. 842-1300)",,Old French,Q35222,Q3106
"French, Old (ca. 842-1300)",fro,Old French,Q35222,Q3106
"French, with citations and margin notes in Latin",fre;lat,French;Latin,Q150;Q397,Q111;Q113
French; English; Italian; Latin; Spanish,,French;English;Italian;Latin;Spanish,Q150;Q1860;Q652;Q397;Q1321,Q111;Q109;Q116;Q113;Q114
French; German,,French;German,Q150;Q188,Q111;Q112
French; Italian,,French;Italian,Q150;Q652,Q111;Q116
French; Latin,,French;Latin,Q150;Q397,Q111;Q113
French; translated from the Spanish,,French;Spanish,Q150;Q1321,Q111;Q114
French (Middle French) and Latin,frm,Middle French;Latin,Q1473289;Q397,Q110;Q113
French (Picard dialect),,French;Picard,Q150;Q34024,Q111;Q40058
French and English,,French;English,Q150;Q1860,Q111;Q109
French and English,fre,French;English,Q150;Q1860,Q111;Q109
French and German,fre;ger,French;German,Q150;Q188,Q111;Q112
French and Latin,,French;Latin,Q150;Q397,Q111;Q113
French with some Latin,fre,French;Latin,Q150;Q397,Q111;Q113
frm,frm,Middle French,Q1473289,Q110
frm;lat,frm;lat,Middle French;Latin,Q1473289;Q397,Q110;Q113
fro,fro,Old French,Q35222,Q3106
Ge'ez (Ethopic),,Ge'ez,Q35667,Q3664
ger,,German,Q188,Q112
ger,ger,German,Q188,Q112
ger;lat,ger;lat,German;Latin,Q188;Q397,Q112;Q113
ger;nds;lat,ger;nds;lat,German;Low German;Latin,Q188;Q25433;Q397,Q112;Q5013;Q113
German,,German,Q188,Q112
German,ger,German,Q188,Q112
"German, Latin, and Greek",,German;Latin;Greek,Q188;Q397;Q9129,Q112;Q113;Q1318
"German, with chapter and closing rubrics in Latin",ger;lat,German;Latin,Q188;Q397,Q112;Q113
"German, with Latin and Hebrew",ger;lat;heb,German;Latin;Hebrew,Q188;Q397;Q9288,Q112;Q113;Q117
"German, with Latin phrases",ger;lat,German;Latin,Q188;Q397,Q112;Q113
"German, with occasional Latin terminology",,German;Latin,Q188;Q397,Q112;Q113
"German, with some French on two leaves (f. 153-154)",ger;fre,German;French,Q188;Q150,Q112;Q111
"German, with some letters in Latin",ger;lat,German;Latin,Q188;Q397,Q112;Q113
German; cursive Hebrew signature,,German;Hebrew,Q188;Q9288,Q112;Q117
German; French; Spanish; Flemish; Italian,,German;French;Spanish;Flemish;Italian,Q188;Q150;Q1321;Q34147;Q652,Q112;Q111;Q114;Q10832;Q116
German; Italian; Latin,,German;Italian;Latin,Q188;Q652;Q397,Q112;Q116;Q113
German; Latin,ger;lat,German;Latin,Q188;Q397,Q112;Q113
German; Latin,,German;Latin,Q188;Q397,Q112;Q113
German; liturgical text on covers in Latin,ger;lat,German;Latin,Q188;Q397,Q112;Q113
German (Middle High German),,German;Middle High German,Q188;Q837985,Q112;Q115
German (Old Saxon),,German;Old Saxon,Q188;Q35219,Q112;Q42448
German and Latin,ger,German;Latin,Q188;Q397,Q112;Q113
German with Latin calendar and colophon,gmh;lat,German;Latin,Q188;Q397,Q112;Q113
gez,gez,Ge'ez,Q35667,Q3664
gmh,gmh,Middle High German,Q837985,Q115
gmh;fre,gmh;fre,Middle High German;French,Q837985;Q150,Q115;Q111
gmh;lat,gmh;lat,Middle High German;Latin,Q837985;Q397,Q115;Q113
goh,goh,Old High German,Q35218,Q5946
Gothic,lat,Gothic,Q35722,Q38095
grc,grc,Ancient Greek,Q35497,Q3103
gre,gre,Greek,Q9129,Q1318
Greek,,Greek,Q9129,Q1318
Greek,;grc,Greek,Q9129,Q1318
Greek,;gre,Greek,Q9129,Q1318
Greek,grc,Greek,Q9129,Q1318
"Greek, with Greek and Latin annotations",grc;lat,Greek;Greek;Latin,Q9129;Q9129;Q397,Q1318;Q1318;Q113
Greek;,,Greek,Q9129,Q1318
Greek; Latin,,Greek;Latin,Q9129;Q397,Q1318;Q113
Greek.,,Greek,Q9129,Q1318
Greek (modern),,Modern Greek,Q36510,Q38096
Greek and Arabic,grc;gre;ara,Greek;Arabic,Q9129;Q13955,Q1318;Q118
guj,guj,Gujarati,Q5137,Q27495
"Handwritten in German, cursive script",ger,German,Q188,Q112
"Handwritten in Italian, cursive script",ita,Italian,Q652,Q116
Headings of each Star Chamber report in Latin,enm,Latin,Q397,Q113
Headings of each Star Chamber report in Latin,enm;lat,Latin,Q397,Q113
Headings of each Star Chamber report in Latin.,enm,Latin,Q397,Q113
Headings of each Star Chamber report in Latin.,enm;lat,Latin,Q397,Q113
heb,,Hebrew,Q9288,Q117
heb,heb,Hebrew,Q9288,Q117
Hebrew,heb,Hebrew,Q9288,Q117
Hebrew,,Hebrew,Q9288,Q117
"Hebrew, with occasional notes in Italian (f. 22r, 24v, 26v, 27v, 82v, 83v)",heb;ita,Hebrew;Italian,Q9288;Q652,Q117;Q116
"Hebrew, with one interlinear glossed word in Latin (f. 54r)",heb;lat,Hebrew;Latin,Q9288;Q397,Q117;Q113
Hebrew; Aramaic,heb;arc,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
Hebrew; Aramaic,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
Hebrew; introduction in Italian,heb;ita,Hebrew;Italian,Q9288;Q652,Q117;Q116
Hebrew; Latin,,Hebrew;Latin,Q9288;Q397,Q117;Q113
Hebrew.,,Hebrew,Q9288,Q117
Hebrew (vocalized),heb,Hebrew,Q9288,Q117
Hebrew (vocalized and with accents),heb,Hebrew,Q9288,Q117
Hebrew and Aramaic,;heb;arc,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
Hebrew and Aramaic,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
Hebrew and Aramaic.,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
Hebrew and Latin,heb;lat,Hebrew;Latin,Q9288;Q397,Q117;Q113
hin,hin,Hindi,Q1568,Q18354
Hindi,hin,Hindi,Q1568,Q18354
Hindustani,inc,Hindustani,Q11051,Q18353
Hindustani,inc;per,Hindustani,Q11051,Q18353
Homiletic texts in Old English. Calendar and gospels in Latin. Some English additions,ang;lat;eng,Old English;Latin;English,Q42365;Q397;Q1860,Q1317;Q113;Q109
ice,ice,Icelandic,Q294,Q38097
Icelandic,,Icelandic,Q294,Q38097
In Arabic,,Arabic,Q13955,Q118
In Arabic,ara,Arabic,Q13955,Q118
"In Arabic, Persian, Ottoman Turkish, and Greek",;ara;per;gre;ota,Arabic;Persian;Ottoman Turkish;Greek,Q13955;Q9168;Q36730;Q9129,Q118;Q120;Q3104;Q1318
"In Arabic, Persian and Turkish",ara,Arabic;Persian;Turkish,Q13955;Q9168;Q256,Q118;Q120;Q4337
"In Arabic, Persian and Turkish",ara;per;ota,Arabic;Persian;Turkish,Q13955;Q9168;Q256,Q118;Q120;Q4337
"In Arabic, Persian and Turkish.",ara,Arabic;Persian;Turkish,Q13955;Q9168;Q256,Q118;Q120;Q4337
"In Arabic, Persian and Turkish.",ara;per;ota,Arabic;Persian;Turkish,Q13955;Q9168;Q256,Q118;Q120;Q4337
"In Arabic, some notes in Persian",;ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic.,ara,Arabic,Q13955,Q118
In Arabic.,,Arabic,Q13955,Q118
In Arabic and Persian,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic and Persian,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic and Persian.,ara,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic and Persian.,ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic with some fawāʼid in Persian,;ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic with some fawāʼid in Persian,;ara;per,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Armenian,arm,Armenian,Q8785,Q792
In Armenian,,Armenian,Q8785,Q792
In Armenian.,arm,Armenian,Q8785,Q792
In Armenian.,,Armenian,Q8785,Q792
"In Avestan. Colophons in Pahlavi, Persian and Gujarati",ave,Avestan;Middle Persian;Persian;Gujarati,Q29572;Q32063;Q9168;Q5137,Q27501;Q27493;Q120;Q27495
In Awadhi,awa,Awadhi,Q29579,Q27502
In Awadhi and Braj,awa,Awadhi;Braj Bhasha,Q29579;Q35243,Q27502;Q27513
In Batak,,Batak,Q1998595,Q42449
In Braj,san,Braj Bhasha,Q35243,Q27513
In Braj,bra,Braj Bhasha,Q35243,Q27513
In Braj and Sanskrit,bra,Braj Bhasha;Sanskrit,Q35243;Q11059,Q27513;Q27494
inc,,Indo-Aryan,Q33577,Q38098
inc,inc,Indo-Aryan,Q33577,Q38098
inc;per,inc;per,Indo-Aryan;Persian,Q33577;Q9168,Q38098;Q120
In Castilian,,Spanish,Q1321,Q114
In Catalan,cat,Catalan,Q7026,Q1316
In Chinese,chi,Chinese,Q7850,Q12715
"In Chinese, with Japanese reading marks",jpn,Chinese;Japanese,Q7850;Q5287,Q12715;Q12711
In Church Slavic,chu,Church Slavonic,Q33251,Q16427
In Church Slavic,,Church Slavonic,Q33251,Q16427
In Church Slavic.,chu,Church Slavonic,Q33251,Q16427
In Church Slavic.,,Church Slavonic,Q33251,Q16427
"In Coptic, with a few marginal notations of later date in Arabic and German",cop;ara;ger,Coptic;Arabic;German,Q36155;Q13955;Q188,Q4335;Q118;Q112
In Czech,cze,Czech,Q9056,Q3107
In Czech,,Czech,Q9056,Q3107
In Czech.,cze,Czech,Q9056,Q3107
In Czech.,,Czech,Q9056,Q3107
In Danish,dan,Danish,Q9035,Q38093
In Dutch,dut,Dutch,Q7411,Q793
In Dutch.,dut,Dutch,Q7411,Q793
In Dutch.,,Dutch,Q7411,Q793
In Dutch and German,dut,Dutch;German,Q7411;Q188,Q793;Q112
In Dutch and German,dut;ger,Dutch;German,Q7411;Q188,Q793;Q112
In Dutch and German.,dut,Dutch;German,Q7411;Q188,Q793;Q112
In Dutch and German.,dut;ger,Dutch;German,Q7411;Q188,Q793;Q112
In English,,English,Q1860,Q109
In English,eng,English,Q1860,Q109
"In English, with endorsement in Latin",eng;lat,English;Latin,Q1860;Q397,Q109;Q113
In English.,eng,English,Q1860,Q109
In English.,,English,Q1860,Q109
In English and Marquesan,,English;Marquesan,Q1860;Q33781,Q109;Q38099
In English and Marquesan.,,English;Marquesan,Q1860;Q33781,Q109;Q38099
In Flemish,lat,Flemish,Q34147,Q10832
In French,,French,Q150,Q111
In French,frm,French,Q150,Q111
In French,fre,French,Q150,Q111
"In French, Italian, and Latin",fre,French;Italian;Latin,Q150;Q652;Q397,Q111;Q116;Q113
"In French, Italian, and Latin",fre;ita;lat,French;Italian;Latin,Q150;Q652;Q397,Q111;Q116;Q113
"In French, Italian, and Latin.",fre,French;Italian;Latin,Q150;Q652;Q397,Q111;Q116;Q113
"In French, Italian, and Latin.",fre;ita;lat,French;Italian;Latin,Q150;Q652;Q397,Q111;Q116;Q113
In French.,fre,French,Q150,Q111
In French.,,French,Q150,Q111
In French and Latin,fre,French;Latin,Q150;Q397,Q111;Q113
In French and Latin,fre;lat,French;Latin,Q150;Q397,Q111;Q113
In French and Latin.,fre,French;Latin,Q150;Q397,Q111;Q113
In French and Latin.,fre;lat,French;Latin,Q150;Q397,Q111;Q113
In German,,German,Q188,Q112
In German,ger,German,Q188,Q112
In German,eng,German,Q188,Q112
"In German, with Latin phrase",ger;lat,German;Latin,Q188;Q397,Q112;Q113
In German.,ger,German,Q188,Q112
In German.,,German,Q188,Q112
In German and Latin,ger,German;Latin,Q188;Q397,Q112;Q113
In German and Latin,ger;lat,German;Latin,Q188;Q397,Q112;Q113
In German and Latin.,ger,German;Latin,Q188;Q397,Q112;Q113
In German and Latin.,ger;lat,German;Latin,Q188;Q397,Q112;Q113
In Greek,grc,Greek,Q9129,Q1318
